name
Alessandro
Andrea
Antonio
Bruno
Carlo
Claudio
Davide
Diego
Domenico
Emanuele
Enrico
Fabio
Fabrizio
Federico
Filippo
Francesco
Gabriele
Gaetano
Giorgio
Giovanni
Giuseppe
Ignazio
Ivan
Jacopo
Leonardo
Lorenzo
Luca
Luigi
Marco
Mario
Matteo
Mauro
Michele
Mirko
Nicola
Nino
Paolo
Pasquale
Piero
Pietro
Raffaele
Renato
Riccardo
Roberto
Salvatore
Sandro
Sergio
Simone
Stefano
Tommaso
Umberto
Valerio
Vincenzo
Walter
Zeno
Armando
Cristiano
Ercole
Orlando
Giacomo
Guido
Manuele
Ivo
Ettore
Adamo
Elia
Rino
Amedeo
Angelo
Edoardo
Arturo
Vittorio
Adriano
Franco
Amos
Marcello
Fernando
Enzo
Gino
Amilcare
Basilio
Flavio
Giordano
Aurelio
Ennio
Quirino
Fortunato
Siro
Marino
Teodoro
Gregorio
Uberto
Remo
Felice
Albano
Danilo
Erminio
Tancredi
Alessandra
Angela
Anna
Arianna
Beatrice
Bianca
Camilla
Carla
Caterina
Chiara
Claudia
Daniela
Debora
Eleonora
Elisa
Elisabetta
Emma
Federica
Francesca
Gabriella
Giada
Giulia
Giorgia
Ilaria
Isabella
Laura
Lidia
Linda
Lisa
Lucia
Luisa
Manuela
Maria
Marta
Martina
Michela
Nadia
Noemi
Ornella
Paola
Patrizia
Roberta
Rosa
Rossella
Sabrina
Sandra
Sara
Serena
Silvia
Simona
Sofia
Stefania
Teresa
Valentina
Vanessa
Veronica
Vittoria
Agnese
Alida
Amalia
Annalisa
Ariella
Berenice
Benedetta
Clarissa
Cinzia
Dalila
Dina
Egle
Ester
Gemma
Giusy
Gloria
Grazia
Isotta
Letizia
Lucrezia
Maddalena
Margherita
Matilde
Milena
Mirella
Norma
Olimpia
Orietta
Ottavia
Priscilla
Rachele
Rita
Saveria
Sibilla
Teodora
Velia
Zita
